Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ79,3/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ13,3/13/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ80,3/13/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ81,3/13/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ82,3/13/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ83,3/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ84,3/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ85,3/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ86,3/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ15,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ87,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ88,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ89,4/20/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ90,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ92,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ95,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ96,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ97,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ98,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ99,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ100,3/27/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ101,4/6/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ102,4/16/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ103,4/16/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ105,4/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ106,4/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ107,5/7/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ108,5/7/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ110,5/7/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ91,5/12/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ111,5/12/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ112,5/12/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ113,5/12/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ114,5/14/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ115,5/14/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ116,5/14/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ117,5/14/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ118,5/14/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ119,5/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ121,5/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ122,5/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ123,5/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ124,5/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ125,6/5/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ126,6/5/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ127,6/5/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ128,6/5/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ129,6/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ130,6/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ131,6/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ132,6/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ134,6/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ135,6/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ136,6/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ137,6/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ138,6/18/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ140,6/19/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ109,7/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ120,7/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ141,7/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ94,7/8/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ142,7/20/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ143,7/20/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ144,7/22/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ38,8/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ54,10/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ72,10/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ93,10/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ104,10/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ139,10/23/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ133,12/23/2010,70
"ООО ""ПАБ&К""",7017197799,МЕ005108АЛ01,11/11/2008,70
"ООО ""МИЛАНА - Фрукты""",7022017240,МЕ005107АЛ01,11/11/2008,70
"ООО ""МИЛАНА - Фрукты""",7022017240,МЕ005107АЛ02,4/6/2009,70
"ООО ""ВОСТОЧНЫЙ""",7017223551,МЕ005110АЛ01,11/18/2008,70
"ООО ""НИКА""",7010006090,МЕ005111АЛ01,11/18/2008,70
"ООО ""Камила""",7017225735,МЕ005112АЛ01,11/20/2008,70
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ01,11/20/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ02,11/20/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ03,11/20/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ04,12/18/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ05,12/18/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ06,12/18/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ07,12/18/2008,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ08,1/22/2009,56
"ООО ""Газпром торг Томск""",5610057871,МЕ005113АЛ09,1/25/2011,56
"ООО "" Аллегро-Щ-К""",7014047820,МЕ004867АЛ01,11/22/2008,70
"ООО ""Чародейка""",7017171222,МЕ004793АЛ01,8/17/2011,70
"ООО""Меридиан""",7017143257,МЕ005116АЛ01,12/1/2008,70
"ООО ""Рафинад""",7014050766,МЕ005115АЛ01,11/28/2008,70
"ООО ""СУХОВ""",7014050036,МЕ005117АЛ01,12/1/2008,70
"ООО ""БРИГ""",7002013417,МЕ005118АЛ01,12/3/2008,70
"ООО ""Жемчужина""",7011005878,МЕ005121АЛ01,12/8/2008,70
"ООО ""Эльчин""",7017222974,МЕ005122АЛ01,12/10/2008,70
"ООО ""На Востоке""",7022017138,МЕ005126АЛ01,12/10/2008,70
"ООО ""Дорожник""",7006008048,МЕ005127АЛ01,12/11/2008,70
"ООО""Энергетик""",7017222646,МЕ005130АЛ01,12/16/2008,70
"ООО ""Восторг""",7022017064,МЕ005129АЛ01,12/15/2008,70
"ООО ""Времена года""",7017227179,МЕ005132АЛ01,12/18/2008,70
"ООО""Мюнхен""",7017216635,МЕ005136АЛ01,12/22/2008,70
"ООО ""ТК ""Наше дело""",7017224770,МЕ005134АЛ01,12/19/2008,70
"ООО ""Фортуна""",7012005493,МЕ005133АЛ01,12/1/2009,70
ПКФ Спектр-Т,7017214067,МЕ005145АЛ01,12/13/2010,70
"ООО ""Компания Колорит""",7017198136,МЕ005139АЛ03,12/23/2008,70
"ООО ""Компания Колорит""",7017198136,МЕ005139АЛ02,12/23/2008,70
"ООО ""Компания Колорит""",7017198136,МЕ005139АЛ01,12/23/2008,70
"ООО ""Компания Колорит""",7017198136,МЕ005139АЛ04,1/23/2009,70
"ООО ""Эфтихия""",7017229384,МЕ005141АЛ01,12/24/2008,70
"ООО ""Эфтихия""",7017229384,МЕ005141АЛ02,12/24/2008,70
"ООО ""Эфтихия""",7017229384,МЕ005141АЛ03,12/24/2008,70
"ООО""Надежда""",7003004140,МЕ005140АЛ01,12/24/2008,70
"ООО""Южанка""",7017229112,МЕ005143АЛ01,10/26/2011,70
"ООО""Южанка""",7017229112,МЕ005143АЛ02,10/26/2011,70
"ООО""Южанка""",7017229112,МЕ005143АЛ03,10/26/2011,70
"ООО""Южанка""",7017229112,МЕ005143АЛ04,10/26/2011,70
"ООО""Южанка""",7017229112,МЕ005143АЛ05,10/26/2011,70
"ООО""Южанка""",7017229112,МЕ005143АЛ06,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ01,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ02,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ03,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ04,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ05,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ06,10/26/2011,70
"ООО""Северянка""",7017229088,МЕ005146АЛ07,10/26/2011,70
"ООО""Сибирский""",7006008344,МЕ005144АЛ01,12/25/2008,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ02,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ03,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ04,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ05,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ06,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ07,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ08,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ09,1/19/2009,70
"ООО ""Инвест Ресторация""",7017178115,МЕ005151АЛ11,1/19/2009,70
"ООО ""Трактир""",7017136637,МЕ005155АЛ01,12/29/2008,70
"ООО ""Мирный""",7014040609,МЕ005147АЛ01,12/26/2008,70
"ООО""22""",7004006623,МЕ005148АЛ01,12/26/2008,70
"ООО""22""",7004006623,МЕ005148АЛ02,12/26/2008,70
"ООО ""Премудрый пескарь""",7010006100,МЕ005152АЛ01,12/29/2008,70
"ООО"" Алголь""",5027061264,МЕ005154АЛ06,4/15/2010,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ07,6/9/2010,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ01,12/29/2008,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ02,12/29/2008,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ03,12/29/2008,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ04,12/29/2008,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ05,12/29/2008,50
"ООО"" Алголь""",5027061264,МЕ005154АЛ08,2/2/2012,50
"ООО""Розница""",7002013463,МЕ005153АЛ01,12/29/2008,70
"ОАО ""Железнодорожная торговая компания""",7708639622,МЕ005156АЛ01,12/30/2008,77
"ОАО ""Железнодорожная торговая компания""",7708639622,МЕ005156АЛ02,12/30/2008,77
"ОАО ""Железнодорожная торговая компания""",7708639622,МЕ005156АЛ03,12/30/2008,77
"ООО "" Дом пива ""У Крюгера""",7017065545,МЕ005157АЛ01,12/30/2008,70
"ООО""ГИС""",7017226016,МЕ005158АЛ01,1/15/2009,70
"ООО ""Багира""",7024030670,МЕ005159АЛ01,1/16/2009,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ07,4/28/2010,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ01,1/19/2009,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ02,1/19/2009,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ03,1/19/2009,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ04,1/19/2009,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ05,1/19/2009,70
"ООО ""Прогресс""",7014050967,МЕ005160АЛ06,1/19/2009,70
"ООО ""Март""",7017230090,МЕ005163АЛ01,1/20/2012,70
"ООО ""Стайл""",7024030649,МЕ005165АЛ01,1/27/2009,70
"ООО ""Стайл""",7024030649,МЕ005165АЛ02,1/27/2009,70
"ООО ""Спарт""",7024030663,МЕ005166АЛ01,1/27/2009,70
"ООО ""Спарт""",7024030663,МЕ005166АЛ02,1/27/2009,70
"ООО ""Успех""",7014051093,МЕ005164АЛ01,1/23/2009,70
"ООО ""СПМ-Стрежевой""",7022017459,МЕ005167АЛ01,1/29/2009,70
"ООО ""СПМ-Стрежевой""",7022017459,МЕ005167АЛ03,1/29/2009,70
"ООО""Торговый Дом ""Миш Маш""",7017228528,МЕ005170АЛ06,11/17/2011,70
"ООО""Торговый Дом ""Миш Маш""",7017228528,МЕ005170АЛ01,2/2/2009,70
"ООО""Торговый Дом ""Миш Маш""",7017228528,МЕ005170АЛ02,11/17/2011,70
"ООО""Торговый Дом ""Миш Маш""",7017228528,МЕ005170АЛ03,11/17/2011,70
"ООО""Торговый Дом ""Миш Маш""",7017228528,МЕ005170АЛ04,11/17/2011,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ01,2/2/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ02,2/16/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ03,5/25/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ04,5/29/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ05,9/16/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ06,11/12/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ08,12/18/2009,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ09,1/19/2012,70
"ООО ""АлЕко""",7017231305,МЕ005169АЛ10,1/19/2012,70
"ООО ""ФорумПлюс""",7017230414,МЕ005172АЛ01,2/4/2009,70
"ООО""ТоргВиТа""",7014051142,МЕ005174АЛ01,2/6/2009,70
"ООО""ТоргВиТа""",7014051142,МЕ005174АЛ02,2/6/2009,70
"ООО""ТоргВиТа""",7014051142,МЕ005174АЛ03,2/6/2009,70
"ООО ""Престиж""",7007010427,МЕ005175АЛ01,2/10/2009,70
"ООО ""Амбар""",7017224570,МЕ005176АЛ01,2/13/2009,70
"ООО ""Амбар""",7017224570,МЕ005176АЛ02,3/3/2009,70
"ООО ""Продюсерский Центр ""ШоуМир""",7017198834,МЕ005179АЛ01,3/3/2009,70
"ООО ""Продюсерский Центр ""ШоуМир""",7017198834,МЕ005179АЛ02,3/3/2009,70
"ООО ""Продюсерский Центр ""ШоуМир""",7017198834,МЕ005179АЛ03,3/3/2009,70
"ООО ""Империя вкуса""",7017197284,МЕ005177АЛ01,1/28/2010,70
"ООО ""Визит""",7023005135,МЕ005178АЛ01,2/27/2009,70
"ООО ""СтройКапРемонт""",7017199250,МЕ005180АЛ01,3/5/2009,70
"ООО ""Черемушки""",7008007498,МЕ005181АЛ01,3/10/2009,70
"ООО ""ВЕЛЕС""",7017233006,МЕ005182АЛ01,3/12/2009,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ01,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ02,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ03,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ04,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ05,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ06,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ07,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ08,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ09,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ10,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ11,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ12,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ13,10/28/2011,70
"ООО ""МК Ритейл""",7017230326,МЕ005183АЛ14,10/28/2011,70
"ООО ""Мэдисон-М""",7017209300,МЕ005186АЛ01,3/20/2009,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ01,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ02,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ03,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ04,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ05,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ06,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ07,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ08,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ09,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ10,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ11,6/8/2011,70
"ООО ""Гранд-Алко""",7017234144,МЕ005184АЛ12,6/8/2011,70
"ООО ""Чародей*",7017232531,МЕ005185АЛ01,3/19/2009,70
"ООО ""Евразия Алко Груп""",7017163790,МЕ005187АЛ01,3/20/2009,70
"ООО ""Копкилец""",7023005128,МЕ005188АЛ01,3/20/2009,70
"ООО ""Звездное""",7017232877,МЕ005189АЛ01,3/26/2009,70
"ООО ""Вандом""",7017164874,МЕ005192АЛ01,4/1/2009,70
"ООО ""Хмель""",7017205217,МЕ005191АЛ01,4/1/2009,70
"ООО ""Кофе-Лайт""",7017231915,МЕ005194АЛ01,4/3/2009,70
"ООО ""Хлебозавод Сервис""",7022014271,МЕ005196АЛ01,4/6/2009,70
"ООО ""Хлебозавод Сервис""",7022014271,МЕ005196АЛ03,4/6/2009,70
"ООО ""Хлебозавод Сервис""",7022014271,МЕ005196АЛ04,4/6/2009,70
"ООО ""Чикен""",7017204439,МЕ005199АЛ01,4/7/2009,70
"ООО ""Гостиничный Комплекс ""Кедр""",7022017314,МЕ005193АЛ01,4/3/2009,70
"ООО ""Гостиничный Комплекс ""Кедр""",7022017314,МЕ005193АЛ02,4/3/2009,70
"ООО ""Гостиничный Комплекс ""Кедр""",7022017314,МЕ005193АЛ03,4/15/2010,70
"ООО ""Планета""",7022017522,МЕ005195АЛ01,4/6/2009,70
"ООО ""Планета""",7022017522,МЕ005195АЛ02,4/6/2009,70
"ООО ""Планета""",7022017522,МЕ005195АЛ03,4/6/2009,70
"ООО ""Планета""",7022017522,МЕ005195АЛ04,4/6/2009,70
"ООО ""Терем""",7014051576,МЕ005198АЛ01,4/6/2009,70
"ООО ""Бэси""",7024028061,МЕ005197АЛ01,4/6/2009,70
"ООО ""Статус""",7011005927,МЕ005201АЛ01,4/16/2009,70
"ООО""Победа""",7017218826,МЕ005202АЛ01,4/16/2009,70
"ООО""Победа""",7017218826,МЕ005202АЛ02,4/16/2009,70
"ООО""Победа""",7017218826,МЕ005202АЛ03,12/7/2009,70
"ЗАО ""Газпромнефть-Кузбасс""",4217035133,МЕ005203АЛ02,7/13/2010,42
"ООО ""ПиОн""",7022017530,МЕ005204АЛ01,4/30/2009,70
"ООО ""ПиОн""",7022017530,МЕ001382АЛ03,4/30/2009,70
"ООО ""ПиОн""",7022017530,МЕ005204АЛ04,4/30/2009,70
"ООО ""ПиОн""",7022017530,МЕ005204АЛ06,4/30/2009,70
"ООО ""ПиОн""",7022017530,МЕ005204АЛ07,4/30/2009,70
"ООО ""ПиОн""",7022017530,МЕ005200АЛ08,4/30/2009,70
"ООО ""БОРУС""",7014051760,МЕ005205АЛ01,5/5/2009,70
"ООО ""Ксения""",7008007240,МЕ005207АЛ01,5/7/2009,70
"ООО ""Союз""",7017231182,МЕ005208АЛ01,5/8/2009,70
"ООО ""КРЕПОСТЬ""",7011005941,МЕ005209АЛ01,5/13/2009,70
"ООО ""Кофе-Дарк""",7017231947,МЕ005210АЛ01,5/18/2009,70
"ООО ""Универсал""",7016006804,МЕ005212АЛ01,6/1/2009,70
"ООО ""Тоян""",7017222798,МЕ005211АЛ01,5/29/2009,70
"ООО ""Продуктсервис""",7022017667,МЕ005213АЛ01,6/15/2009,70
"ООО ""Продуктсервис""",7022017667,МЕ005213АЛ02,6/15/2009,70
"ООО ""Продуктсервис""",7022017667,МЕ005213АЛ03,6/15/2009,70
"ООО ""Продуктсервис""",7022017667,МЕ005213АЛ04,8/19/2009,70
"ООО ""Продуктсервис""",7022017667,МЕ005213АЛ05,8/19/2009,70
"ООО ""ТПК ""Союс""",7021053038,МЕ005214АЛ01,6/18/2009,70
