,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,Е 004094,РА-0241/11," ООО ""Союз"" ОГРН 1095402004675",Действует,05.05.11,04.05.12,"г.Новосибирск, ул.Ельцовская, 2",5402510674
,Е 002176,РА-734/09," ООО ""МИАН"" ОГРН 1065402054354",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Ельцовская, 2, кв.63",5402465446
,Е 002459,РА-1461/09," ООО ""БирФиш"" ОГРН 1095402011385",Действует,30.12.09,29.12.12,"г.Новосибирск, ул.Ельцовская, 20, кв.4",5402517415
,Е 001886,РА-462/09," ООО ""Поляна"" ОГРН 1075402014995",Действует,25.05.09,24.05.12,"г.Новосибирск, ул.Ельцовская, 5",5402486252
,Е 002047,РА-616/09," ООО ""Модуль плюс"" ОГРН 1065402002269",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Ельцовская, 7",5402461547
,Е 003796,РА-0799м/10," ООО ""СОДРУЖЕСТВО-С"" ОГРН 1055402072208",Действует,28.12.10,27.12.11,"г.Новосибирск, ул.Ереванская, 18",5402458872
,Е 003711,РА-0714м/10," ООО ""Витасиб"" ОГРН 1095402006952",Действует,06.12.10,05.12.11,"г.Новосибирск, ул.Ереванская, 18",5402512858
,Е 003891,РА-0047/11," ООО ""КАСКАД"" ОГРН 1105476061987",Действует,15.02.11,14.02.12,"г.Новосибирск, ул.Ереванская, 32",5402530399
,Е 002058,РА-627/09," ООО ""Заря"" ОГРН 1065401092613",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Есенина, 12",5401268639
,Е 002120,РА-687/09," ООО ""Алекс"" ОГРН 1065401093064",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Есенина, 12",5401269086
,Е 004033,РА-0182/11," ООО ""Биллион"" ОГРН 1105476096802",Действует,17.04.11,16.04.12,"г.Новосибирск, ул.Есенина, 55",5401342868
,Е 003035,РА-0064/10," ООО ""Фортуна"" ОГРН 1085407014285",Действует,17.02.10,16.02.13,"г.Новосибирск, ул.Железнодорожная, 11",5407053911
,Е 001660,РА-252/09," ООО ""Регион-Сибирь"" ОГРН 1085407019477",Действует,01.04.09,31.03.12,"г.Новосибирск, ул.Железнодорожная, 12/1",5407057779
,Е 002963,РА-1332/09," ООО ""Раздолье"" ОГРН 1065407144824",Действует,14.12.09,13.12.12,"г.Новосибирск, ул.Железнодорожная, 2",5407022166
,Е 003898,РА-0053/11," ООО ""Дорожный-1"" ОГРН 1025403211129",Действует,18.02.11,17.02.14,"г.Новосибирск, ул.Железнодорожная, 20",5407223024
,Е 001921,РА-497/09," ООО ""Шанс"" ОГРН 1065407005674",Действует,29.05.09,28.05.12,"г.Новосибирск, ул.Железнодорожная, 6/1",5407012190
,Е 002115,РА-682/09," ООО ""Союз"" ОГРН 1065407135936",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Железнодорожная, 6/1",5407016437
,Е 002942,РА-1313/09," ООО ""Алей"" ОГРН 1055407135300",Действует,06.12.09,05.12.12,"г.Новосибирск, ул.Железнодорожная, 6/3",5407009743
,Е 002912,РА-1285/09," ООО ""ЛЕОН-ПЛЮС"" ОГРН 1025403220732",Действует,01.12.09,30.11.12,"г.Новосибирск, ул.Железнодорожная, 8/4",5407205561
,Е 003105,РА-0130/10," ООО ""Носага"" ОГРН 1065402060844",Действует,15.03.10,14.03.12,"г.Новосибирск, ул.Жуковского, 102",5402469264
,Е 003884,РА-0040/11," ООО ""Олимп"" ОГРН 1105402000813",Действует,10.02.11,09.02.12,"г.Новосибирск, ул.Жуковского, 102",5402522038
,Е 004415,РА-0507/11," ООО ""Магнат"" ОГРН 1115476059258",Действует,17.10.11,16.10.14,"г.Новосибирск, ул.Жуковского, 102   Аэп: id2003@list.ru",5402538398
,Е 003758,РА-0761м/10," ООО ""ЗАЕЛЬЦОВСКИЙ ОБЩЕПИТ"" ОГРН 1025401019588",Действует,22.12.10,21.12.11,"г.Новосибирск, ул.Жуковского, 111",5402113162
,Е 002984,РА-1353/09," ООО ""НовоТорг"" ОГРН 1095402012210",Действует,10.12.09,09.12.12,"г.Новосибирск, ул.Жуковского, 117",5402518232
,Е 002112,РА-679/09," ООО ""Лотос"" ОГРН 1025401025682",Действует,20.06.09,19.06.12,"г.Новосибирск, ул.Жуковского, 123",5402117512
,Е 002426,РА-1430/09," ООО ""Фортуна"" ОГРН 1095402012617",Действует,28.12.09,27.12.12,"г.Новосибирск, ул.Жуковского, 123",5402518610
,Е 004420,РА-582/08," ООО ""Коляда"" ОГРН 1075402004578",Действует,21.10.11,20.10.13,"г.Новосибирск, ул.Жуковского, 123    Аэп:kolyada3@yandex.ru",5402477730
,Е 004406,РА-0504/11," ООО ""Родничок"" ОГРН 1025401507031",Действует,11.10.11,10.10.16,"г.Новосибирск, ул.Забалуева, 11  Аэп: romstol@mail.ru",5404186960
,Е 002956,РА-1326/09," ООО ""Чалдоны и Ко"" ОГРН 1035401488363",Действует,08.12.09,07.12.12,"г.Новосибирск, ул.Забалуева, 47",5404133372
,Е 003160,РА-0184/10," ООО ""Лазурь"" ОГРН 1065404075307",Действует,10.04.10,09.04.13,"г.Новосибирск, ул.Забалуева, 60",5404271189
,Е 004233,РА-0377/11," ООО ""ЛИНИКЕР"" ОГРН 1035401491410",Действует,29.06.11,28.06.12,"г.Новосибирск, ул.Забалуева, 78а",5404155760
,Е 004253,РА-0396/11," ООО магазин ""Мечта-3"" ОГРН 1025403869480",Действует,06.07.11,05.07.14,"г.Новосибирск, ул.Звездная, 14",5409106157
,Е 004282,РА-0424/11, ФКУ ИК-3 ГУФСИН России по Новосибирской области ОГРН 1025403869820,Действует,12.07.11,11.07.12,"г.Новосибирск, ул.Звездная, 34",5409109888
,Е 001631,РА-224/09," ООО ""Витаминка"" ОГРН 1025403869842",Действует,30.03.09,29.03.12,"г.Новосибирск, ул.Звездная, 34",5409111460
,Е 003925,РА-0080/11," ООО ""Звездный плюс"" ОГРН 1035403869192",Действует,03.03.11,02.03.14,"г.Новосибирск, ул.Звездная, 9/1",5409112898
,Е 002866,РА-1241/09," ООО ""Феникс"" ОГРН 1045401927471",Действует,17.11.09,16.11.12,"г.Новосибирск, ул.Зеленодолинская, 1/1",5405275475
,Е 003743,РА-0746м/10," ООО ""Новый день"" ОГРН 1025403903612",Действует,19.12.10,18.12.11,"г.Новосибирск, ул.Земнухова, 12",5410125098
,Е 001991,РА-562/09," ООО ""Гея"" ОГРН 1065410039551",Действует,23.06.09,22.06.12,"г.Новосибирск, ул.Земнухова, 5",5410006848
,Е 002494,РА-0026/10," ООО ""Трест питания № 2"" ОГРН 1055475034086",Действует,12.02.10,11.02.13,"г.Новосибирск, ул.Золотодолинская, 11",5448450700
,Е 004343,РА-0478/11," ООО ""ОМЛАЙН"" ОГРН 1025401316951",Действует,28.07.11,27.07.14,"г.Новосибирск, ул.Зорге, 151а",5403138307
,Е 002813,РА-1190/09," ООО ""Лесон"" ОГРН 1025401316049",Действует,03.11.09,02.11.12,"г.Новосибирск, ул.Зорге, 179",5403135024
,Е 004517,РА-665/08," ООО ""Гегам"" ОГРН 1085403016930",Действует,24.11.11,23.11.14,"г.Новосибирск, ул.Зорге, 179.  Аэп: bestbir65@mail.ru",5403217012
,Е 002978,РА-1347/09," ЗАО ""Альба"" ОГРН 1025401317589",Действует,27.12.09,26.12.12,"г.Новосибирск, ул.Зорге, 179/1",5407115580
,Е 002228,РА-781/09," ООО ""Успех"" ОГРН 1065403046829",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Зорге, 18",5403184416
,Е 002070,РА-638/09," ООО ""ЛДС"" ОГРН  1065403039756",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Зорге, 1а",5403182747
,Е 002118,РА-685/09," ООО ""БиС"" ОГРН 1065403046554",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Зорге, 213",5403184110
,Е 003977,РА-0127/11," ООО ""Скиф"" ОГРН 1065403051713",Действует,29.03.11,28.03.14,"г.Новосибирск, ул.Зорге, 233",5403189252
,Е 004229,РА-0373/11," ООО ""Корсар"" ОГРН 1065403045564",Действует,30.06.11,29.06.12,"г.Новосибирск, ул.Зорге, 271",5403183282
,Е 004323,РА-0462/11," ООО ""Бодос"" ОГРН 1065403047918",Действует,30.07.11,29.07.12,"г.Новосибирск, ул.Зорге, 271",5403185498
,Е 002759,РА-1139/09," ООО ""Назим"" 1065403049436",Действует,21.10.09,20.10.12,"г.Новосибирск, ул.Зорге, 46",5403186942
,Е 002810,РА-1187/09," ООО ""Маркет-2"" ОГРН 1065403046499",Действует,31.10.09,30.10.12,"г.Новосибирск, ул.Зорге, 8",5403184060
,Е 002083,РА-651/09," ООО ""Малахит"" ОГРН 1035401925184",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Зыряновская, 119",5405252171
,Е 004199,РА-0342/11," ООО ""АЛЬБИОН"" ОГРН 1085405026409",Действует,18.06.11,17.06.12,"г.Новосибирск, ул.Зыряновская, 119",5405382808
,Е 003750,РА-0753м/10," ООО ""Шемрок-Кейтеринг"" ОГРН 1075405017489",Действует,21.12.10,20.12.11,"г.Новосибирск, ул.Зыряновская, 121",5405348853
,Е 004095,РА-0242/11," ООО ""Грошик"" ОГРН 1025403652339",Действует,05.05.11,04.05.14,"г.Новосибирск, ул.Иванова, 29",5408175550
,Е 003989,РА-0139/11," ООО ""Андреич"" ОГРН 1025403668938",Действует,31.03.11,30.03.12,"г.Новосибирск, ул.Иванова, 3",5408180750
,Е 001432,РА-040/09," ООО ""Академторгсервис"" ОГРН 1055473103564",Действует,01.02.09,31.01.12,"г.Новосибирск, ул.Ильича, 6",5408236315
,Е 002128,РА-691/09," ООО ""ВнешТоргАльянс"" ОГРН 1065473070068",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Ильича, 6",5408241202
,Е 004167,РА-0312/11," ООО Бильярдный клуб ""Свояк"" ОГРН 1065405131890",Действует,07.06.11,06.06.12,"г.Новосибирск, ул.Инская, 39",5405327331
,Е 004450,РА-0524/11," ООО ""Набережная"" ОГРН 1055405091191",Действует,02.11.11,01.11.12,"г.Новосибирск, ул.Инская, 39 Аэп: inskaya@yandex.ru",5405297937
,Е 004463,РА-0650м/10," ООО ""Белый дом"" ОГРН 1045401918825",Действует,10.11.11,09.11.13,"г.Новосибирск, ул.Инская, 56 Аэп: whitehouse@souintel.ru",5405272509
,Е 001656,РА-249/09," ООО ""Иштан-I"" ОГРН 1065406045990",Действует,03.04.09,02.04.12,"г.Новосибирск, ул.Ипподромская, 25-27",5406341466
,Е 002361,РА-898/09," ООО ТФ ""РОСТ"" ОГРН 1055406317438",Действует,26.07.09,25.07.12,"г.Новосибирск, ул.Ипподромская, 32",5406329042
,Е 004121,РА-0266/11," ООО """"Македа"" ОГРН 1115476019108",Действует,19.05.11,18.05.12,"г.Новосибирск, ул.Ипподромская, 46",5410040060
,Е 002522,РА-919/09," ООО ""Грант"" ОГРН 1065405120373",Действует,01.08.09,31.07.12,"г.Новосибирск, ул.К.Либкнехта, 94",5405319316
,Е 004427,РА-0512/11," ООО ""ПродуктА"" ОГРН 1115476063515",Действует,25.10.11,24.10.13,"г.Новосибирск, ул.Кавалерийская, 9  Аэп: emlok@ngs.ru",5402538775
,Е 001779,РА-362/09," ООО ""Калейдоскоп"" ОГРН 1065406091794",Действует,23.04.09,22.04.12,"г.Новосибирск, ул.Каменская, 18",5406345559
,Е 001856,РА-435/09," ООО ""Ольгетта"" ОГРН 1065406106127",Действует,15.05.09,14.05.12,"г.Новосибирск, ул.Каменская, 18",5406346680
,Е 001833,РА-414/09," ООО ""ЛАМА"" ОГРН 1065406101287",Действует,10.05.09,09.05.12,"г.Новосибирск, ул.Каменская, 45",5406346224
,Е 002996,РА-1364/09," ООО ""Второй этаж"" ОГРН 1085406048408",Действует,15.12.09,14.12.12,"г.Новосибирск, ул.Каменская, 7",5406512520
,Е 004430,РА-0538м/10," ЗАО ""Русская компания развития"" ОГРН 1045403225064",Действует,16.09.10,15.09.13,"г.Новосибирск, ул.Каменская, 7/1",5407270835
,Е 003838,РА-0839м/10," ООО ""Альтаир"" ОГРН 1105476091005",Действует,31.12.10,30.12.11,"г.Новосибирск, ул.Каменская, 78/2",5406652158
,Е 003946,РА-0100/11," ООО ""Предприятие ФИОРД""  ОГРН 1025401478519",Действует,12.03.11,11.03.12,"г.Новосибирск, ул.Киевская, 11а",5404149291
,Е 001355,РА-836/08," ООО ""ЗАРЯ-С"" ОГРН 1025401313618",Действует,29.12.08,28.12.11,"г.Новосибирск, ул.Киевская, 14",5403133690
,Е 001422,РА-031/09," ООО ""Каскад"" ОГРН 1055404169809",Действует,28.01.09,27.01.12,"г.Новосибирск, ул.Киевская, 32",5404260606
,Е 002432,РА-1436/09," ООО ""Ладога плюс"" ОГРН 1025401933347",Действует,01.01.10,31.12.11,"г.Новосибирск, ул.Кирова, 108",5405188342
,Е 002341,РА-881/09," ООО ""Лайт инвест"" ОГРН 1095405010799",Действует,21.07.09,20.07.12,"г.Новосибирск, ул.Кирова, 108",5405392355
